"nome associazione",sito,comune,cap,provincia,regione,categoria
99,"ISTITUTO PER I BENI ARTISTICI, CULTURALI E NATURALI",http://rivista.ibc.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1-4
100,"Associazione culturale Musica 90",http://www.musica90.net,Torino,10152,TO,PIE,1
101,"Homepage &mdash; E-R Scuola",http://scuola.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1-4
102,"Regione Emilia-Romagna &mdash; E-R Sociale",http://sociale.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1-4
103,"360 GRADI Il portale del tempo libero",http://www.360gradi.info,,,,,1-4
104,Adnkronos,http://www.adnkronos.com,Roma,153,RM,LAZ,1-4
105,"A.E.R.CO. - Associazione Emiliano-Romagnola Cori",http://www.aerco.it/,,,,,00
106,"AFIC - Associazione Festival Italiani di Cinema",http://www.aficfestival.it,,,,,1-4
107,"Agendaonline.it &gt;&gt; Idee per tempo libero, viaggi e vacanze.",http://www.agendaonline.it,Milano,20148,MI,LOM,1-4
108,"Agriturismi Emilia Romagna | Agriturst er",http://www.agriturist-er.it,,,,,1-4
109," AIB-WEB - Il web dell&#039;Associazione Italiana Biblioteche",http://www.aib.it,Roma,185,RM,LAZ,1-4
110,"Gran Galà Armonie della Sera - Armonie della Sera",http://www.armoniedellasera.it,"Ponzano di Fermo",63845,FM,MAR,1
111,"Associazione Musicale A.R.T. MUSICA - Presidente: Romualdo Savastano",http://www.art-musica.it,Roma,167,RM,LAZ,1
112,"Teatro - Spettacoli teatrali",http://www.teatro.it,Milano,20144,MI,LOM,1
113,"Teatro Bonci",http://www.teatrobonci.it,,,,,1
114,"Ascoli Piceno Festival musica tradizioni sapori delle Marche",http://www.ascolipicenofestival.com,,,,,1
115,"Teatro Carcere Emilia Romagna",http://www.teatrocarcere-emiliaromagna.it,,,,,1
116,"Teatro Necessario",http://www.teatronecessario.it/,Colorno,43052,PR,EMR,1
117,"Associazione Musicainsieme",http://www.assmusicainsieme.it,"Luserna San Giovanni",10062,TO,PIE,1
118,"Teatro Nucleo | Centro Produzione e ricerca teatrale",http://www.teatronucleo.org,Ferrara,44123,FE,EMR,1
119,"VALSESIA MUSICA",http://www.valsesiamusica.com,,,,,1
120,"www.associazione-melody.com - Home",http://www.associazione-melody.com,,,,,1
121,"Associazione Musicale Lucchese",http://www.associazionemusicalelucchese.it,,,,,1
122,"VIE Festival Modena - dal 9 al 25 ottobre 2014",http://www.viefestivalmodena.com,,,,,1-4
123,Assonanza,http://www.assonanza.it,Mirandola,41037,MO,EMR,1
124,"  	ATER  ",http://www.ater.emr.it,Modena,41124,MO,EMR,1
125,"Balletto.net - il giornale della danza",http://www.balletto.net,,,,,1
126,"BALLILATINI.IT - La Salsa in Italia! Musica e ballo latino americano caraibico",http://www.ballilatini.it,,,,,1-4
127,"BlueCommunity - Elenco artisti, professionisti, aziende, Enti, eventi: Musica, Spettacolo, Arte visi",http://www.bluecommunity.it,,,,,1
